event_id,t_start_full,t_end_full,t_start_core,t_end_core,duration_full_s,duration_core_s,Qmax,t_Qmax,volume_Q_dt
1,2020-01-01 00:04:00,2021-03-21 05:04:00,2020-01-01 00:04:00,2021-03-21 02:04:00,38466300.0,38455500.0,2567.2,2020-06-12 03:04:14,713955753.9976363
2,2021-03-21 05:49:00,2021-12-11 12:24:00,2021-03-21 06:49:00,2021-12-11 09:24:00,22920000.0,22905600.0,2913.725,2021-10-03 14:09:00,523909645.79975736
3,2021-12-11 10:54:00,2022-01-04 07:04:00,2021-12-11 11:54:00,2022-01-04 04:04:00,2060100.0,2045700.0,34.7099200558282,2021-12-11 12:19:00,10074828.202717498
4,2022-01-04 09:14:00,2022-01-12 08:04:00,2022-01-04 10:14:00,2022-01-12 05:04:00,687300.0,672900.0,20.084079949925,2022-01-05 01:04:00,2708200.1813497944
5,2022-01-12 10:59:00,2022-01-20 23:04:00,2022-01-12 11:59:00,2022-01-20 20:04:00,735000.0,720600.0,14.6506879909098,2022-01-12 12:04:00,1394945.0368510163
6,2022-01-21 05:19:00,2022-02-01 01:29:00,2022-01-21 06:19:00,2022-01-31 22:29:00,936900.0,922500.0,10.0559830018933,2022-01-21 10:24:00,1259269.5693835914
7,2022-02-01 17:54:00,2022-03-10 09:04:00,2022-02-01 18:54:00,2022-03-10 06:04:00,3165300.0,3150900.0,94.1872720213607,2022-02-14 08:34:00,18176181.359893404
8,2022-03-31 23:04:00,2022-06-21 19:04:00,2022-04-01 00:04:00,2022-06-21 16:04:00,7070700.0,7056300.0,130.935912151016,2022-04-23 11:34:00,59022549.544469036
9,2022-06-21 18:54:00,2022-07-15 20:04:00,2022-06-21 19:54:00,2022-07-15 17:04:00,2078100.0,2063700.0,65.3695279240925,2022-06-23 11:09:00,1725697.2153414374
10,2022-07-15 18:24:00,2022-07-16 17:29:00,2022-07-15 19:24:00,2022-07-16 14:29:00,83400.0,69000.0,0.723659405846688,2022-07-16 10:19:00,10245.31624824007
11,2022-07-16 21:04:00,2022-07-17 13:54:00,2022-07-16 22:04:00,2022-07-17 10:54:00,60900.0,46500.0,0.642355508431766,2022-07-17 00:59:00,4918.620902703743
12,2022-07-18 09:09:00,2022-07-18 13:49:00,2022-07-18 10:09:00,2022-07-18 10:49:00,17100.0,2700.0,0.62329650534225,2022-07-18 10:09:00,560.966854808025
13,2022-07-21 06:04:00,2022-07-21 12:04:00,2022-07-21 07:04:00,2022-07-21 09:04:00,21900.0,7500.0,0.652562878827864,2022-07-21 07:24:00,1133.5052600665729
14,2022-08-05 11:14:00,2022-08-29 12:04:00,2022-08-05 12:14:48,2022-08-29 09:04:00,2076900.0,2062500.0,31.488666648125,2022-08-05 12:39:00,932918.7654677574
15,2022-08-29 11:24:00,2022-08-31 14:04:00,2022-08-29 12:24:00,2022-08-31 11:04:00,182700.0,168300.0,0.780861777270704,2022-08-30 12:39:00,23123.41812795281
16,2022-09-02 19:44:00,2023-09-14 12:19:00,2022-09-02 20:44:00,2023-09-14 09:19:00,32546400.0,32532000.0,250.664827395195,2022-12-15 12:44:00,224755837.53757396
17,2023-09-14 10:24:00,2023-12-09 02:24:00,2023-09-14 11:24:00,2023-12-08 23:24:00,7401900.0,7387500.0,1189.4,2023-10-23 17:24:00,178750450.05578858
18,2023-12-30 23:04:00,2024-01-19 21:04:00,2023-12-31 00:04:00,2024-01-19 18:04:00,1721100.0,1706700.0,35.0131769699428,2024-01-18 09:04:00,5282850.87706449
19,2024-01-20 00:59:00,2024-03-03 02:54:00,2024-01-20 01:59:00,2024-03-02 23:54:00,3722400.0,3708000.0,249.397014461081,2024-02-10 10:19:00,39327012.933830164
20,2024-03-04 23:04:00,2024-06-07 15:04:00,2024-03-05 00:04:00,2024-06-07 12:04:00,8179500.0,8165100.0,1243.35,2024-03-31 19:44:00,524509091.24973243
21,2024-06-25 10:04:00,2024-08-15 22:24:00,2024-06-25 11:04:00,2024-08-15 19:24:00,4451100.0,4436700.0,44.210609498085,2024-06-29 16:34:00,1818310.5850365448
22,2024-08-26 13:19:00,2024-10-26 23:49:35,2024-08-26 14:19:00,2024-10-26 20:49:00,5308500.0,5294100.0,2489.595,2024-10-16 08:29:00,322186935.279426
23,2024-11-05 11:09:00,2024-11-25 23:54:00,2024-11-05 12:09:00,2024-11-25 20:54:00,1774200.0,1759800.0,809.114679637569,2024-11-25 20:54:00,25468332.566762045
24,2024-12-05 10:14:00,2024-12-31 23:59:00,2024-12-05 11:14:00,2024-12-31 23:59:00,2296200.0,2292600.0,34.408399979808,2024-12-07 14:04:00,5587646.015850845
